Rank,City,County,State,Country,CostofLivingIndex,RentIndex,GroceriesIndex,LocalPurchasingPowerIndex,Mean,Median,Stdev,Lat,Lng
1,New York,Albany County, NY, United States,100,100,100,100,76190,68128,48883,40.641524,-73.9416243
2,San Francisco,Alameda County, CA, United States,96.88,106.49,101.93,125.95,100856.9221,42421.0789,71959.8182,37.8016201,-122.4156811
3,Honolulu,Honolulu County, HI, United States,93.72,63.96,96.32,113.58,84613.9512,57229.8537,57229.8537,21.288485,-157.717889
4,Anchorage,Matanuska-Susitna Borough, AK, United States,93.19,39.45,96.74,138.38,89349.2,55792.68,55792.68,61.355597,-150.16935
5,Brooklyn,Fairfield County, NY, United States,90.31,81.02,83.16,87.05,98207,100367,59779,41.7872432,-71.9574014
6,Washington,District of, DC, United States,88.5,70.28,86.63,131.53,91404.4921,62785.3651,62785.3651,38.904103,-77.017229
7,Santa Rosa,Alameda County, CA, United States,88.27,56.69,84.35,116.47,73909.2222,42421.0789,50681.7222,38.3933396,-122.7012564
8,Charleston,Adams County, SC, United States,86.87,46.12,90.86,106.06,74154,75693,45162,39.4700387,-88.0932166
9,Bellevue,Adair County, WA, United States,85.97,61.2,78.24,186,61624,47674,49322,42.2070191,-90.4595153
10,Seattle,Adams County, WA, United States,85.51,64.7,83.72,140,38873,28154,29112,47.7225472,-122.2818937
11,Berkeley,Alameda County, CA, United States,84.09,76.39,81.99,119.03,103222.1,42421.0789,72681.8,37.8911093,-122.2813663
12,Jersey City,Atlantic County, NJ, United States,84.08,61.58,86.08,120.46,77297.1304,55937.4348,55937.4348,40.7532468,-74.0469179
13,Oakland,Alameda County, CA, United States,81.18,77.14,77.54,137.74,74826.1404,42421.0789,52918.9474,37.7408161,-122.1621741
14,Boston,Adair County, MA, United States,80.46,76.09,75.71,124.57,79133.1176,67582.4706,67582.4706,37.7729025,-85.6215665
15,Hartford,Geneva County, CT, United States,79.85,41.58,83.41,84.71,42389.7333,34694.2,34694.2,31.105348,-85.691225
16,Albany,Alameda County, NY, United States,79.38,31.01,77.5,108.77,98633,300000,50866,37.8906499,-122.3181164
17,Philadelphia,Adams County, PA, United States,79.25,49.35,74.58,109.34,53672,51949,34375,32.8213105,-88.9902859
18,Irvine,Alameda County, CA, United States,78.38,65.75,73.87,135.16,94079.8571,42421.0789,60058.0714,33.6920021,-117.7546973
19,Long Beach,Alameda County, CA, United States,77.95,55.18,74.93,128.82,73900.7273,42421.0789,51962.7955,33.830434,-118.2159632
20,Los Angeles,Los Angeles County, CA, United States,77.66,70.45,71.59,114.51,61724.557,42421.0789,48167.9781,33.941679,-118.301838
21,Chicago,Cook County, IL, United States,77.33,55.53,70.69,133.7,63975.9732,49482.953,49482.953,41.837551,-87.681844
22,Boulder,Adams County, CO, United States,77.16,53.54,76.79,112.76,93236.5455,65201.2727,65201.2727,40.0299035,-105.2706095
23,San Jose,Alameda County, CA, United States,76.28,76.61,71.1,170.91,100633.8767,42421.0789,62848.5753,37.3584848,-121.89276
24,Burlington,Adams County, VT, United States,76.11,41.81,73.17,76.97,55927,46853,41747,39.3072974,-102.2113119
25,Pittsburgh,Allegheny County, PA, United States,76.04,38.23,71.89,114.28,58114,49013,45247,40.357667,-79.905397
26,Miami,Apache County, FL, United States,75.83,57.81,67.27,89.99,61151.4034,41393.3333,46539.958,33.452695,-110.9371613
27,Santa Barbara,Alameda County, CA, United States,75.55,68.66,67.52,124.41,91477.5,42421.0789,65113,34.446327,-119.7788151
28,Sacramento,Sacramento County, CA, United States,75.54,44.29,69.09,145.88,64649.9545,42421.0789,46426.9091,38.566592,-121.468632
29,Portland,Fairfield County, ME, United States,74.81,42.4,72.45,122.77,65467.8571,56055.4286,56055.4286,41.5787389,-72.6337837
30,West Palm Beach,Palm Beach County, FL, United States,74.79,42.16,70.55,119.13,56874.9643,41393.3333,44522.0357,26.690963,-80.121794
31,Everett,Barnstable County, WA, United States,74.36,43.44,72.61,119.38,50724,300000,50723,42.4192406,-71.0390042
32,Tacoma,Pierce County, WA, United States,74.21,38.62,71.42,130.05,49974,40623,35466,47.173402,-122.412024
33,Portland,Fairfield County, OR, United States,74.17,50.67,69.19,126.03,65467.8571,#N/A,56055.4286,41.5787389,-72.6337837
34,Baltimore,Baltimore County, MD, United States,73.85,42.89,68.71,127.77,63442.9645,46122.078,46122.078,39.364165,-76.517585
35,New Orleans,Acadia Parish, LA, United States,73.61,41.21,67,106.74,51234.303,43040.3788,43040.3788,29.9235307,-90.0464711
36,Charlotte,Alcona County, NC, United States,73.33,41.65,69.21,142.25,74298,66380,47601,42.54767,-84.8738123
37,Minneapolis,Aitkin County, MN, United States,72.93,46.18,68.29,133.75,71931.6604,50253.7736,50253.7736,45.0454803,-93.3086989
38,Eugene,Baker County, OR, United States,72.46,30.44,78.36,99.5,44743,24736,46461,43.9927124,-123.2152039
39,San Diego,Alameda County, CA, United States,72.29,61.06,64.11,144.91,85061.7184,42421.0789,55298.4951,32.7530051,-117.1858954
40,Bellingham,Barnstable County, WA, United States,72.14,34.17,68.93,114.33,105102,300000,59315,42.0335072,-71.511925
41,Atlanta,DeKalb County, GA, United States,72.05,46.89,66.94,150.38,76480.6613,55154.629,55154.629,33.875954,-84.334763
42,Denver,Arapahoe County, CO, United States,72.02,54.09,67.92,130.34,68615.3768,65201.2727,51004.6377,39.667776,-104.921728
43,Saint Paul,Aitkin County, MN, United States,71.94,45.24,70.22,111.58,69522.0323,50253.7736,52492.4194,44.9569236,-93.0994839
44,Birmingham,Autauga County, AL, United States,71.87,34.03,69.4,107.87,48808.1667,36507.8333,36507.8333,33.4007267,-86.6925733
45,Asheville,Alamance County, NC, United States,71.52,37.19,71.47,104.81,43098,32415,34617,35.5904439,-82.5453771
46,Fort Myers,Lee County, FL, United States,71.5,33.45,68.78,104.54,53465.381,41393.3333,41393.3333,26.578228,-81.861453
47,Indianapolis,Marion County, IN, United States,70.79,34.81,67.2,109.93,54372.0357,43114.6452,39845.1667,39.816549,-86.320646
48,Jacksonville,Autauga County, FL, United States,70.62,31.36,69,132.56,55344.4068,41393.3333,40884.661,33.7661796,-85.7864612
49,Buffalo,Aitkin County, NY, United States,70.59,29.3,62.31,111.16,64994,61578,44588,45.2115714,-93.9153733
50,Olympia,Adams County, WA, United States,70.57,40.4,60.02,135.82,57181,54810,47439,47.0447883,-122.8734533
51,Saint Petersburg,#N/A, FL, United States,70.49,40.59,66.03,127.77,#N/A,#N/A,#N/A,#N/A,#N/A
52,Austin,Adams County, TX, United States,70.49,50.35,65.81,151.25,35116,25875,40492,38.7495378,-85.8141425
53,Rochester,Adams County, NY, United States,70.25,30.81,69.88,91.12,92013,300000,55884,39.7598226,-89.4921425
54,Orlando,Orange County, FL, United States,70.18,38.43,68.5,130.1,58527.9348,41393.3333,44294.6739,28.55431,-81.299455
55,Peoria,Apache County, IL, United States,69.84,25.55,68.44,118.14,50822.6667,49482.953,38698.5833,33.6294009,-112.2828515
56,Cleveland,Blount County, OH, United States,69.65,28.24,62.06,105.12,55127,44609,39231,33.992756,-86.500325
57,Raleigh,Smith County, NC, United States,69.18,36.18,71.88,155.96,47563,33330,46195,32.034724,-89.525732
58,Arlington,Calhoun County, TX, United States,69.07,30.98,64.58,141.64,45609,18746,62973,31.436823,-84.729732
59,Saint Louis,Alcona County, MO, United States,69.02,29.42,65.14,149.05,46317,39740,36559,43.4111733,-84.6112502
60,Milwaukee,Adams County, WI, United States,68.81,35.57,63.74,107.87,51244,29764,64069,43.1820632,-88.01003
61,Nashville,Appling County, TN, United States,68.78,49.17,64.1,136.29,47273,40404,39070,31.2406903,-83.2961258
62,Tampa,Hillsborough County, FL, United States,68.61,39.54,65.38,140.97,57624.7564,41393.3333,44836,28.070996,-82.562173
63,Virginia Beach,Accomack County, VA, United States,67.86,35.84,62.06,161.28,64304,57119,41241,36.8525795,-76.1337231
64,Syracuse,Kosciusko County, NY, United States,67.55,33.6,63.81,94.96,51342,44768,43486,41.420611,-85.749422
65,Tallahassee,Alachua County, FL, United States,67.24,26.47,71.3,128.82,64958.3333,41393.3333,48044.5833,30.4570859,-84.2837233
66,Bakersfield,Kern County, CA, United States,67.11,28.95,63.16,151.58,59350.8684,42421.0789,42421.0789,35.321213,-119.018291
67,Ann Arbor,Alcona County, MI, United States,67.06,47.59,60.7,128.99,111892.9375,68927.1875,68927.1875,42.2850587,-83.7507189
68,Las Vegas,Churchill County, NV, United States,66.98,29.55,59.56,144.4,62934.2692,43015.3923,43015.3923,36.0897935,-115.076107
69,Columbus,Muscogee, OH, United States,66.9,36.92,58.94,128.77,55824,41908,50381,32.510197,-84.874946
70,Spokane,Christian County, WA, United States,66.6,28.33,59.19,124.45,64958,300000,15730,36.863219,-93.305568
71,Memphis,Alcona County, TN, United States,66.49,26.58,59.36,125.07,74963,72089,39945,42.9372573,-82.8095358
72,Columbia,Appling County, SC, United States,66.23,27.73,65.6,124.84,39646,24701,41977,31.1995947,-84.9937344
73,Salem,Autauga County, OR, United States,66.04,28.93,61.63,125.24,56743,51524,41271,32.5985333,-85.1564072
74,Fort Wayne,Adams County, IN, United States,65.88,21.74,70.07,124.37,60936.6452,43114.6452,43114.6452,41.0966773,-85.1622524
75,Dayton,Franklin County, OH, United States,65.84,21.97,62.6,91.21,56384,43033,47316,42.111246,-111.984615
76,Kansas City,Allen County, MO, United States,65.74,30.53,58.43,138.6,53109.6379,39603.2586,39603.2586,39.1360745,-94.6809514
77,Fort Worth,Tarrant County, TX, United States,65.19,35.53,56.86,140.43,98879,85973,65342,32.822072,-97.489154
78,Fayetteville,Arkansas County, AR, United States,64.84,25.9,61.15,109.58,45973.4,40774.4,40774.4,36.124794,-94.1338947
79,Richmond,Contra Costa County, VA, United States,64.56,35.24,63.54,132.62,50937,31359,53493,37.965271,-122.370668
80,Greensboro,Hale County, NC, United States,64.46,27.34,63.03,133.53,36439,21136,45043,32.700968,-87.5937
81,Dallas,Appling County, TX, United States,64.32,43.15,58.5,153.42,61638,55339,44750,33.9231612,-84.8560783
82,Albuquerque,Bernalillo County, NM, United States,64.32,27.29,64.42,128.27,16025,300000,7037,34.979469,-106.797939
83,Phoenix,Apache County, AZ, United States,64.31,33.65,56.58,146.15,57559.192,41722.84,41722.84,32.8913628,-109.5331779
84,Gainesville,Alachua County, FL, United States,63.62,29.02,60.52,106.34,45673.0714,41393.3333,36737.6429,29.6304086,-82.3492862
85,Grand Rapids,Alcona County, MI, United States,63.47,31.04,55.26,129.66,62063.3235,68927.1875,41822.2059,43.0065784,-85.6478324
86,Tucson,Pima County, AZ, United States,63.35,23.63,52.48,122.68,56039.2564,41722.84,40973.8333,32.484902,-110.899633
87,Madison,Autauga County, WI, United States,63.3,37.52,56.66,144.61,101327,85287,71138,34.6474493,-86.8534466
88,Chattanooga,Comanche County, TN, United States,63.28,29.58,57.19,124.02,44643,300000,34004,34.460281,-98.579362
89,Fresno,Fresno County, CA, United States,63.25,30.12,54.68,120.12,57730.1489,42421.0789,44210.0638,36.984012,-119.70806
90,Wichita,Allen County, KS, United States,63.18,23.45,57.3,135.99,58381.2955,40448.7955,40448.7955,37.7161607,-97.3534348
91,Salt Lake City,Beaver County, UT, United States,62.94,35.8,55.93,150.76,108170,85573,75605,40.7803333,-111.8737411
92,Detroit,Wayne County, MI, United States,62.77,34.22,56.21,97.41,35734.8636,68927.1875,33507.9727,42.383037,-83.102237
93,Tulsa,Adair County, OK, United States,62.67,26.87,59.49,129.54,76468,52837,71928,36.05548,-96.0532795
94,Cincinnati,Hamilton County, OH, United States,62.65,31.03,52.4,137.31,119823,105537,73356,39.250757,-84.426464
95,Lubbock,Lubbock County, TX, United States,62.4,24.28,56.8,135.19,58705,44459,52375,33.565636,-101.886671
96,Des Moines,Warren County, IA, United States,62.21,33.57,57.09,128.68,60983.9615,40830.5,40830.5,41.57259,-93.610243
97,Houston,Aitkin County, TX, United States,62.16,43.11,54.36,155.88,75572,68371,53061,43.9233397,-91.5292054
98,Oklahoma City,Adair County, OK, United States,61.72,25.72,60.18,136.21,98020,300000,58105,35.355958,-97.6230996
99,Knoxville,Knox County, TN, United States,60.97,28.75,59.45,116.61,54284,49452,37821,40.906919,-90.285693
100,Springfield,Sangamon County, MO, United States,60.56,18.66,60.68,102.88,49691.05,39603.2586,39643.9,39.778704,-89.683956
101,Vancouver,Baker County, WA, United States,60.46,35.97,50.54,153.07,61906,44959,55704,45.6275145,-122.7161229
102,Toledo,Cumberland County, OH, United States,60.35,21.26,50.89,125.57,46326,37389,39845,39.272387,-88.241628
103,Little Rock,Arkansas County, AR, United States,60.31,26.4,55.44,144.07,62356.0455,40774.4,48464.7727,34.7170554,-92.2729487
104,Louisville,Barbour County, KY, United States,60.24,26.86,53.87,123.93,63227.9205,46507.9333,44461.0341,31.708516,-85.611039
105,Reno,Washoe County, NV, United States,59.84,38.03,51.96,136.81,65354.6667,43015.3923,44449.6667,39.516172,-119.923037
106,Huntsville,Autauga County, AL, United States,59.8,28.65,58.83,162.04,63580.2222,36507.8333,43942.1111,34.7832877,-86.5893471
107,Lexington,McLean County, KY, United States,59.64,24.86,54.5,141.91,64795.7667,46507.9333,46507.9333,40.646936,-88.784621
108,Boise,Ada County, ID, United States,59.43,30.85,50.93,120.44,63788.8889,47396.8333,47396.8333,43.6066784,-116.180455
109,El Paso,Anderson County, TX, United States,59.37,22.16,54.07,131.7,0,0,0,31.8864366,-106.4288286
110,San Antonio,Bexar County, TX, United States,58.12,31.26,55.2,150.96,102646,82298,71145,29.599214,-98.485542
